iter	RMSE
0	16.11585939
1	15.22307779
2	14.33077469
3	13.5753928
4	12.82758931
5	12.22830589
6	11.6538297
7	11.26535685
8	10.90325715
9	10.43481867
10	10.03915564
11	9.663552518
12	9.351479433
13	9.041873933
14	8.753182938
15	8.519677923
16	8.309292343
17	8.104835696
18	7.899564264
19	7.709239696
20	7.52959834
21	7.383470087
22	7.240690455
23	7.085812292
24	6.972790749
25	6.852740219
26	6.732387127
27	6.627515116
28	6.552435143
29	6.445529254
30	6.358683514
31	6.287017335
32	6.200875815
33	6.136791516
34	6.077008616
35	5.99645908
36	5.92296569
37	5.877575611
38	5.827161749
39	5.776603358
40	5.720364078
41	5.666445007
42	5.614210206
43	5.577183275
44	5.531024131
45	5.497048584
46	5.459681436
47	5.416199635
48	5.383159047
49	5.355021493
50	5.322789165
51	5.288138337
52	5.260672338
53	5.228414036
54	5.197216444
55	5.17655277
56	5.142360604
57	5.110230398
58	5.0830189
59	5.066429546
60	5.04327446
61	5.01952182
62	5.000246242
63	4.980957761
64	4.960289203
65	4.936157877
66	4.916361224
67	4.896595022
68	4.877889129
69	4.856699898
70	4.839038768
71	4.826665123
72	4.811706802
73	4.792495122
74	4.778423436
75	4.763616813
76	4.749131659
77	4.732378464
78	4.720040913
79	4.703699923
80	4.699813746
81	4.697091397
82	4.686039479
83	4.673259744
84	4.670447635
85	4.667668869
86	4.653218341
87	4.64439552
88	4.637517511
89	4.630208973
90	4.616618867
91	4.607196809
92	4.595987169
93	4.585213409
94	4.571910784
95	4.55706552
96	4.54243638
97	4.539694938
98	4.531084264
99	4.51726038
100	4.501425334
101	4.499756965
102	4.478131867
103	4.46958719
104	4.464247572
105	4.448396172
106	4.437937686
107	4.4233947
108	4.417539514
109	4.395008596
110	4.385559682
111	4.373210977
112	4.362455248
113	4.357496199
114	4.347446413
115	4.338944044
116	4.333161812
117	4.329519759
118	4.319393915
119	4.313527013
120	4.305480109
121	4.303822816
122	4.296728082
123	4.28669759
124	4.274405695
125	4.259156132
126	4.25376521
127	4.247983903
128	4.242502155
129	4.230045425
130	4.214556155
131	4.196107446
132	4.183768336
133	4.168065015
134	4.15639411
135	4.143206528
136	4.137990403
137	4.127195969
138	4.121884227
139	4.112201598
140	4.105798388
141	4.096200937
142	4.082562475
143	4.071638627
144	4.062082118
145	4.060418365
146	4.052789431
147	4.04584735
148	4.038390192
149	4.035864271
150	4.026603743
151	4.014972687
152	4.002099636
153	3.995955077
154	3.986607191
155	3.983667168
156	3.974571962
157	3.967734402
158	3.953950819
159	3.940473632
160	3.937038903
161	3.92646577
162	3.920673667
163	3.916347919
164	3.90954252
165	3.899409521
166	3.890956426
167	3.881174142
168	3.871685339
169	3.867448261
170	3.858136326
171	3.847426657
172	3.839265503
173	3.83052323
174	3.827035049
175	3.820135605
176	3.813267878
177	3.802267282
178	3.787959525
179	3.779878324
180	3.770661048
181	3.762210919
182	3.761719057
183	3.75273139
184	3.742008567
185	3.726278522
186	3.716228214
187	3.712056016
188	3.703044305
189	3.702163649
190	3.69585815
191	3.685787196
192	3.684950675
193	3.675271956
194	3.665177375
195	3.66132443
196	3.649270352
197	3.646645363
198	3.639165977
199	3.633460092
