iter	Passed	Remaining
0	1	293
1	2	283
2	4	274
3	5	263
4	6	260
5	8	261
6	9	254
7	10	258
8	12	259
9	13	253
10	14	250
11	15	250
12	17	248
13	18	244
14	19	241
15	20	240
16	22	242
17	23	240
18	25	239
19	26	238
20	27	237
21	29	235
22	30	232
23	31	230
24	32	228
25	33	226
26	36	231
27	37	231
28	39	230
29	40	229
30	41	228
31	43	226
32	44	224
33	45	221
34	46	219
35	47	217
36	49	217
37	50	216
38	52	214
39	53	214
40	55	213
41	56	212
42	57	211
43	59	210
44	60	209
45	63	211
46	64	209
47	65	208
48	66	206
49	68	204
50	69	204
51	71	203
52	75	208
53	76	207
54	77	205
55	79	203
56	80	202
57	82	200
58	83	199
59	84	197
60	86	196
61	87	194
62	88	192
63	89	190
64	90	188
65	92	186
66	93	184
67	94	183
68	95	181
69	96	180
70	98	178
71	99	176
72	100	175
73	101	173
74	103	171
75	104	170
76	105	169
77	107	167
78	109	167
79	110	166
80	113	166
81	114	164
82	115	162
83	117	161
84	118	160
85	120	159
86	121	157
87	122	156
88	123	154
89	125	152
90	126	151
91	129	151
92	131	150
93	132	149
94	133	147
95	135	146
96	136	144
97	137	143
98	138	141
99	140	140
100	141	138
101	142	136
102	143	135
103	144	133
104	146	132
105	147	130
106	148	129
107	149	127
108	151	126
109	152	124
110	153	123
111	155	121
112	156	120
113	157	118
114	158	117
115	160	116
116	161	114
117	162	113
118	163	111
119	165	110
120	166	108
121	168	107
122	171	107
123	172	105
124	173	104
125	175	102
126	176	101
127	177	99
128	178	98
129	180	97
130	181	95
131	182	94
132	184	92
133	185	91
134	186	89
135	187	88
136	188	86
137	189	85
138	190	83
139	191	82
140	193	80
141	194	79
142	195	77
143	196	76
144	197	74
145	198	73
146	199	72
147	200	70
148	201	69
149	202	67
150	204	66
151	205	64
152	206	63
153	207	62
154	208	60
155	210	59
156	211	58
157	213	56
158	214	55
159	215	53
160	216	52
161	217	50
162	218	49
163	219	48
164	220	46
165	221	45
166	222	44
167	223	42
168	225	41
169	226	39
170	227	38
171	228	37
172	229	35
173	230	34
174	231	33
175	232	31
176	233	30
177	234	29
178	235	27
179	236	26
180	238	24
181	239	23
182	240	22
183	241	20
184	242	19
185	243	18
186	244	17
187	245	15
188	247	14
189	248	13
190	249	11
191	250	10
192	251	9
193	253	7
194	254	6
195	255	5
196	256	3
197	257	2
198	258	1
199	260	0
