iter	RMSE
0	16.70380402
1	16.33400911
2	15.96186932
3	15.57580125
4	15.20622727
5	14.86921003
6	14.57253105
7	14.23056848
8	13.95559735
9	13.70295728
10	13.42460389
11	13.14913674
12	12.9073229
13	12.64215201
14	12.37530913
15	12.16438022
16	11.92606915
17	11.69199095
18	11.46660906
19	11.25754235
20	11.06780927
21	10.85954166
22	10.67178548
23	10.46621974
24	10.29063351
25	10.11168183
26	9.952124282
27	9.812563351
28	9.650792002
29	9.488969533
30	9.33408737
31	9.19349099
32	9.078059186
33	8.945302501
34	8.839012426
35	8.709239203
36	8.597320211
37	8.488334304
38	8.38202333
39	8.268984004
40	8.161168274
41	8.054195288
42	7.942976433
43	7.835191458
44	7.762896264
45	7.666967434
46	7.596403761
47	7.522522764
48	7.433304624
49	7.346043474
50	7.290114413
51	7.223361776
52	7.158650403
53	7.084059826
54	7.011787198
55	6.942018032
56	6.882669303
57	6.81669302
58	6.75901751
59	6.697633079
60	6.641150996
61	6.584634176
62	6.528662781
63	6.476124745
64	6.415820546
65	6.359148547
66	6.30654958
67	6.258809492
68	6.219260818
69	6.163083485
70	6.126134017
71	6.088624164
72	6.044569068
73	5.996407856
74	5.95722956
75	5.920364311
76	5.891772913
77	5.853165712
78	5.816191212
79	5.782703735
80	5.747232421
81	5.709446165
82	5.667432169
83	5.635861502
84	5.601952839
85	5.570265873
86	5.53693787
87	5.511409184
88	5.482236666
89	5.455343894
90	5.426507191
91	5.399356237
92	5.375735622
93	5.348630006
94	5.325554865
95	5.30177266
96	5.277313551
97	5.256265518
98	5.23351057
99	5.205826875
100	5.188234013
101	5.163473137
102	5.148671679
103	5.126794198
104	5.11076476
105	5.090192612
106	5.066715488
107	5.049894861
108	5.030690544
109	5.018747618
110	5.002560751
111	4.988515477
112	4.967825229
113	4.951515519
114	4.936307603
115	4.919932763
116	4.904903833
117	4.890878319
118	4.876845873
119	4.858551411
120	4.847792412
121	4.828958015
122	4.80868204
123	4.797261652
124	4.781080475
125	4.765860772
126	4.75504577
127	4.743101872
128	4.728057562
129	4.711286338
130	4.698184688
131	4.684062868
132	4.670820703
133	4.657321422
134	4.646668138
135	4.632939034
136	4.616191006
137	4.603396389
138	4.593440088
139	4.581988986
140	4.570921287
141	4.560231533
142	4.549841955
143	4.534732261
144	4.525110181
145	4.511887902
146	4.499928872
147	4.49124143
148	4.4809176
149	4.467418333
150	4.456866285
151	4.444452858
152	4.434214606
153	4.424595692
154	4.41457047
155	4.400187308
156	4.391400594
157	4.381910937
158	4.37151332
159	4.361989212
160	4.351922195
161	4.339917117
162	4.329390281
163	4.32202263
164	4.313767182
165	4.300716617
166	4.290740221
167	4.28107619
168	4.268250065
169	4.255961265
170	4.245769723
171	4.238886432
172	4.231829834
173	4.225482128
174	4.21822024
175	4.210839509
176	4.203945426
177	4.199298138
178	4.190291226
179	4.177350755
180	4.168580974
181	4.160180669
182	4.151505626
183	4.144272109
184	4.137572699
185	4.131518358
186	4.124930357
187	4.114835713
188	4.108315052
189	4.104578974
190	4.099081644
191	4.094021804
192	4.088147806
193	4.080271995
194	4.07543855
195	4.066505043
196	4.058296134
197	4.052151495
198	4.043874828
199	4.038772694
200	4.032781951
201	4.02537848
202	4.017866898
203	4.014586302
204	4.00979524
205	4.001428907
206	3.994006291
207	3.986736302
208	3.979473321
209	3.973069739
210	3.97218022
211	3.970429329
212	3.967629349
213	3.960880913
214	3.956231346
215	3.952796659
216	3.944770809
217	3.938912345
218	3.933849685
219	3.927295265
220	3.922923106
221	3.922214237
222	3.920425041
223	3.915268177
224	3.910005927
225	3.908752699
226	3.905002674
227	3.902272778
228	3.897891456
229	3.889448447
230	3.883806961
231	3.881210739
232	3.877358406
233	3.873239
234	3.864292155
235	3.860256199
236	3.853317414
237	3.845490308
238	3.84101111
239	3.835973547
240	3.831948506
241	3.818389366
242	3.81194424
243	3.809747927
244	3.801469427
245	3.796021065
246	3.790042196
247	3.782343253
248	3.778092747
249	3.770330328
250	3.76516509
251	3.761566342
252	3.758596706
253	3.754378451
254	3.750289239
255	3.746618121
256	3.742051938
257	3.737665523
258	3.731915611
259	3.728390106
260	3.721817651
261	3.717866984
262	3.713240081
263	3.701876807
264	3.698061289
265	3.690602678
266	3.686115767
267	3.67874737
268	3.677061421
269	3.674034857
270	3.670377704
271	3.66586177
272	3.661919759
273	3.652270476
274	3.648019304
275	3.640008419
276	3.629231145
277	3.624775964
278	3.620769876
279	3.618118207
280	3.614052351
281	3.608604787
282	3.599785998
283	3.594774635
284	3.590717202
285	3.585384741
286	3.580997608
287	3.577016723
288	3.573653122
289	3.569549919
290	3.565579811
291	3.560891702
292	3.554073909
293	3.544638165
294	3.539383453
295	3.53244767
296	3.520481823
297	3.515508661
298	3.507429052
299	3.503346978
300	3.499574948
301	3.498096669
302	3.49673333
303	3.486816438
304	3.483817355
305	3.476745972
306	3.472901527
307	3.465476503
308	3.458032295
309	3.452918864
310	3.44633981
311	3.438093823
312	3.434398246
313	3.432718411
314	3.426964788
315	3.423297527
316	3.418126693
317	3.411586984
318	3.407187311
319	3.397000661
320	3.390852385
321	3.386067064
322	3.379832562
323	3.371769982
324	3.369614466
325	3.358834727
326	3.35425911
327	3.345572297
328	3.33800781
329	3.327358799
330	3.319753735
331	3.315512118
332	3.308466046
333	3.302889325
334	3.298659433
335	3.288307836
336	3.281510773
337	3.274505415
338	3.267637511
339	3.259949184
340	3.255032516
341	3.25058382
342	3.245871257
343	3.239078793
344	3.231774553
345	3.222262054
346	3.215875804
347	3.208693052
348	3.203829539
349	3.195525059
350	3.195148499
351	3.188127994
352	3.182941443
353	3.178682072
354	3.172121881
355	3.165257451
356	3.164892538
357	3.155951697
358	3.150828927
359	3.148487993
360	3.143653805
361	3.138354058
362	3.133657516
363	3.123178275
364	3.119218256
365	3.114845494
366	3.110117523
367	3.109264257
368	3.104974086
369	3.098189864
370	3.091938937
371	3.083652091
372	3.076574474
373	3.072782706
374	3.068647434
375	3.063054402
376	3.055648494
377	3.052480817
378	3.051131432
379	3.050626795
380	3.042001271
381	3.041787308
382	3.034022413
383	3.029444446
384	3.023025217
385	3.017744578
386	3.011796823
387	3.006722165
388	3.000069807
389	2.999686865
390	2.996975467
391	2.992544665
392	2.988278278
393	2.981732229
394	2.9768123
395	2.970530129
396	2.964566361
397	2.960136522
398	2.956066893
399	2.955610714
400	2.948642384
401	2.943367617
402	2.938210141
403	2.934630371
404	2.929831764
405	2.926618522
406	2.920558041
407	2.915261322
408	2.908718595
409	2.905704263
410	2.902276579
411	2.896909573
412	2.89658199
413	2.893234716
414	2.887609368
415	2.883579801
416	2.878175694
417	2.874266663
418	2.869470726
419	2.869053493
420	2.863135782
421	2.858402129
422	2.85246188
423	2.847783622
424	2.844305041
425	2.836607543
426	2.832740273
427	2.828285507
428	2.824062112
429	2.820510985
430	2.816896167
431	2.81662383
432	2.809876558
433	2.803074652
434	2.7968186
435	2.792322031
436	2.788187733
437	2.784008967
438	2.777462341
439	2.773673862
440	2.773298645
441	2.76747953
442	2.762222931
443	2.755237314
444	2.751154293
445	2.743508993
446	2.741219885
447	2.734593822
448	2.731413188
449	2.727191633
450	2.72333111
451	2.718033425
452	2.716246548
453	2.711789066
454	2.707400588
455	2.70161335
456	2.69654883
457	2.691805337
458	2.690848994
459	2.685125022
460	2.683168427
461	2.678090749
462	2.677898403
463	2.672647993
464	2.668835793
465	2.664707881
466	2.660143875
467	2.656083308
468	2.652854901
469	2.645460971
470	2.642758002
471	2.638291569
472	2.634587126
473	2.629705624
474	2.623800606
475	2.618120482
476	2.613762674
477	2.610155751
478	2.607493238
479	2.604341616
480	2.600883326
481	2.597310326
482	2.594970529
483	2.591201226
484	2.584738747
485	2.580190607
486	2.580022879
487	2.576579183
488	2.57338107
489	2.567317147
490	2.56359667
491	2.557666467
492	2.552843061
493	2.545549757
494	2.542592345
495	2.5375772
496	2.532156194
497	2.528383028
498	2.523442188
499	2.519167014
500	2.517487659
501	2.513047537
502	2.508842
503	2.508695157
504	2.502193492
505	2.496790078
506	2.490822689
507	2.486993312
508	2.485119213
509	2.480528114
510	2.476928699
511	2.472837912
512	2.472644715
513	2.472446778
514	2.47056524
515	2.466283413
516	2.462201037
517	2.459228728
518	2.456111216
519	2.451650224
520	2.450810945
521	2.447199173
522	2.444027081
523	2.439718325
524	2.437727611
525	2.433024365
526	2.427805666
527	2.423821907
528	2.419379814
529	2.416813143
530	2.413818269
531	2.406990027
532	2.401975253
533	2.398187015
534	2.392023046
535	2.387421693
536	2.383628309
537	2.378568808
538	2.373594153
539	2.369577227
540	2.363491721
541	2.361567852
542	2.356101419
543	2.353680529
544	2.350745566
545	2.345879364
546	2.341665032
547	2.334176717
548	2.330952382
549	2.325442069
550	2.318070766
551	2.313563681
552	2.312463074
553	2.309697707
554	2.305978883
555	2.301596534
556	2.298357293
557	2.294957295
558	2.290487153
559	2.285148881
560	2.283084009
561	2.277759177
562	2.272746109
563	2.272603997
564	2.268666908
565	2.265266908
566	2.262504911
567	2.260131674
568	2.256248907
569	2.252122243
570	2.251909322
571	2.251715827
572	2.247810695
573	2.245361531
574	2.241751504
575	2.237367409
576	2.233969121
577	2.229927416
578	2.224770337
579	2.221718146
580	2.21838529
581	2.214496263
582	2.207826482
583	2.20515142
584	2.201771475
585	2.199388579
586	2.194030785
587	2.188604292
588	2.185052984
589	2.179424553
590	2.175097846
591	2.170097825
592	2.165356483
593	2.16124122
594	2.156392842
595	2.156120817
596	2.153228671
597	2.150339305
598	2.144776499
599	2.1407236
600	2.137549942
601	2.131990636
602	2.128615955
603	2.124130524
604	2.12213358
605	2.120487651
606	2.117546938
607	2.114691915
608	2.112775166
609	2.108421616
610	2.104784228
611	2.099908235
612	2.096106286
613	2.092150813
614	2.086487794
615	2.082956732
616	2.080612093
617	2.076364747
618	2.07165172
619	2.068281853
620	2.064874465
621	2.061081739
622	2.056668672
623	2.052976299
624	2.050313484
625	2.048929751
626	2.045504335
627	2.04138793
628	2.038436661
629	2.036041243
630	2.034213221
631	2.03058799
632	2.027252945
633	2.02513135
634	2.019784796
635	2.017254819
636	2.014581318
637	2.010254348
638	2.004402641
639	2.001749602
640	1.998561665
641	1.99581704
642	1.992752742
643	1.988976513
644	1.98555921
645	1.981952495
646	1.977570774
647	1.974131438
648	1.971143452
649	1.967821694
650	1.964901999
651	1.962359254
652	1.961202173
653	1.959620213
654	1.95667572
655	1.954469988
656	1.951179374
657	1.948757717
658	1.944431313
659	1.942796282
660	1.938991196
661	1.937139498
662	1.932642753
663	1.928619571
664	1.926758328
665	1.923395058
666	1.919864363
667	1.91719325
668	1.911565967
669	1.910229959
670	1.90703956
671	1.905640606
672	1.904211668
673	1.901515785
674	1.899889092
675	1.898779487
676	1.895486985
677	1.893118679
678	1.8892897
679	1.885815882
680	1.883056745
681	1.881613735
682	1.879325838
683	1.877082189
684	1.875085047
685	1.87137288
686	1.869004448
687	1.867159686
688	1.865208523
689	1.862595217
690	1.860406249
691	1.856901226
692	1.853493905
693	1.851069149
694	1.848478043
695	1.84620523
696	1.844814964
697	1.842214468
698	1.838637228
699	1.835879438
700	1.834043953
701	1.831234237
702	1.829917883
703	1.82684186
704	1.824628954
705	1.822635851
706	1.818692826
707	1.816350575
708	1.813377061
709	1.81004365
710	1.805920296
711	1.803795923
712	1.801952986
713	1.79932053
714	1.797346527
715	1.794770087
716	1.791796372
717	1.788269663
718	1.784685537
719	1.783999006
720	1.78241788
721	1.780915356
722	1.77762745
723	1.77542836
724	1.772619615
725	1.769193766
726	1.767215768
727	1.767064699
728	1.764191433
729	1.761830416
730	1.75928124
731	1.755463912
732	1.752989702
733	1.750017725
