iter	Passed	Remaining
0	14	14962
1	18	9292
2	22	7406
3	24	6171
4	27	5503
5	30	5134
6	33	4808
7	37	4628
8	40	4412
9	42	4228
10	45	4059
11	49	4049
12	52	3953
13	55	3888
14	58	3823
15	60	3748
16	63	3686
17	66	3653
18	69	3599
19	72	3561
20	75	3505
21	78	3478
22	81	3446
23	84	3425
24	86	3386
25	89	3357
26	92	3320
27	94	3290
28	97	3266
29	100	3255
30	103	3228
31	106	3216
32	109	3194
33	111	3166
34	113	3142
35	116	3129
36	119	3106
37	121	3084
38	124	3068
39	128	3072
40	130	3062
41	134	3057
42	137	3051
43	140	3044
44	143	3054
45	146	3043
46	149	3039
47	152	3027
48	155	3021
49	158	3010
50	161	2999
51	163	2989
52	166	2976
53	169	2965
54	171	2955
55	174	2943
56	177	2932
57	180	2924
58	182	2917
59	185	2910
60	188	2908
61	191	2896
62	194	2886
63	196	2881
64	199	2875
65	202	2868
66	205	2862
67	208	2852
68	210	2846
69	213	2838
70	216	2832
71	219	2824
72	222	2826
73	225	2817
74	227	2810
75	230	2807
76	233	2801
77	236	2796
78	239	2788
79	241	2782
80	244	2777
81	247	2769
82	251	2776
83	253	2768
84	257	2776
85	260	2773
86	263	2766
87	266	2763
88	269	2759
89	272	2760
90	276	2759
91	279	2758
92	282	2753
93	287	2768
94	290	2765
95	293	2759
96	296	2762
97	299	2753
98	303	2760
99	305	2751
100	308	2748
101	311	2746
102	315	2746
103	318	2747
104	322	2745
105	325	2743
106	329	2749
107	332	2745
108	335	2739
109	337	2733
110	340	2727
111	343	2725
112	347	2726
113	350	2721
114	353	2717
115	355	2712
116	358	2708
117	361	2702
118	364	2696
119	367	2691
120	370	2691
121	373	2689
122	377	2689
123	380	2686
124	383	2686
125	387	2685
126	390	2681
127	393	2681
128	396	2676
129	399	2670
130	401	2664
131	404	2660
132	407	2655
133	410	2651
134	413	2646
135	415	2640
136	418	2634
137	420	2629
138	423	2623
139	426	2618
140	428	2611
141	431	2606
142	433	2600
143	436	2595
144	439	2591
145	441	2585
146	444	2578
147	447	2577
148	450	2570
149	452	2563
150	454	2558
151	457	2552
152	460	2548
153	462	2543
154	465	2537
155	467	2531
156	470	2526
157	472	2520
158	475	2516
159	478	2513
160	481	2507
161	483	2502
162	486	2497
163	488	2492
164	491	2486
165	494	2483
166	496	2477
167	499	2472
168	501	2467
169	504	2461
170	506	2457
171	509	2452
172	512	2447
173	514	2443
174	517	2438
175	519	2434
176	522	2430
177	525	2426
178	527	2421
179	530	2416
180	532	2411
181	535	2406
182	538	2403
183	540	2397
184	543	2393
185	545	2388
186	548	2382
187	550	2378
188	553	2374
189	555	2369
190	558	2365
191	560	2360
192	563	2356
193	566	2353
194	569	2349
195	571	2344
196	573	2339
197	576	2334
198	579	2330
199	581	2327
200	584	2322
201	586	2317
202	589	2312
203	591	2307
204	593	2302
205	596	2299
206	599	2294
207	601	2291
208	604	2286
209	606	2282
210	609	2277
211	611	2273
212	614	2268
213	616	2264
214	618	2259
215	621	2255
216	624	2251
217	626	2247
218	629	2243
219	631	2238
220	633	2233
221	635	2227
222	637	2222
223	640	2218
224	642	2213
225	644	2208
226	647	2204
227	649	2200
228	652	2196
229	654	2191
230	657	2189
231	660	2185
232	662	2182
233	665	2178
234	668	2175
235	670	2171
236	673	2167
237	675	2163
238	678	2159
239	680	2155
240	683	2151
241	685	2147
242	688	2143
243	690	2140
244	693	2135
245	695	2131
246	698	2128
247	700	2124
248	703	2121
249	705	2117
250	708	2113
251	710	2109
252	713	2105
253	715	2102
254	718	2098
255	721	2096
256	723	2092
257	726	2089
258	728	2085
259	731	2081
260	733	2077
261	736	2073
262	738	2069
263	740	2065
264	743	2062
265	746	2059
266	748	2055
267	751	2052
268	754	2050
269	756	2045
270	759	2044
271	762	2041
272	765	2038
273	767	2034
274	770	2031
275	773	2028
276	775	2025
277	778	2022
278	781	2019
279	783	2015
280	786	2011
281	788	2008
282	791	2006
283	794	2003
284	797	1999
285	799	1996
286	802	1993
287	805	1990
288	807	1986
289	810	1983
290	812	1979
291	814	1975
292	817	1972
293	819	1968
294	822	1965
295	824	1961
296	827	1958
297	829	1954
298	831	1950
299	835	1949
300	837	1945
301	840	1942
302	842	1938
303	845	1936
304	848	1932
305	850	1930
306	853	1926
307	855	1922
308	858	1919
309	860	1915
310	863	1912
311	865	1909
312	868	1906
313	870	1902
314	873	1899
315	875	1896
316	878	1893
317	881	1889
318	883	1886
319	886	1883
320	888	1879
321	891	1876
322	893	1872
323	895	1869
324	898	1865
325	900	1862
326	903	1859
327	905	1856
328	908	1853
329	911	1850
330	913	1847
331	916	1843
332	918	1840
333	921	1837
334	923	1834
335	926	1830
336	929	1827
337	931	1824
338	934	1821
339	937	1819
340	940	1817
341	942	1814
342	945	1811
343	948	1808
344	950	1804
345	953	1801
346	955	1798
347	958	1795
348	961	1792
349	963	1790
350	966	1786
351	969	1784
352	971	1781
353	975	1780
354	978	1777
355	981	1775
356	983	1772
357	986	1769
358	989	1765
359	991	1762
360	994	1760
361	997	1758
362	1000	1755
363	1003	1753
364	1005	1750
365	1009	1747
366	1012	1746
367	1015	1743
368	1017	1740
369	1020	1737
370	1023	1734
371	1026	1732
372	1028	1729
373	1031	1726
374	1033	1723
375	1036	1720
376	1039	1717
377	1042	1714
